Backend Circuit Size,`nargo prove` Time (s)
2^2,0m0.696s
2^3,0m0.460s
2^4,0m0.471s
2^5,0m0.481s
2^6,0m0.499s
2^7,0m0.496s
2^8,0m0.511s
2^9,0m0.533s
2^10,0m0.579s
2^11,0m0.649s
2^12,0m0.790s
2^13,0m1.051s
2^14,0m1.517s
2^15,0m2.443s
2^16,0m4.413s
2^17,0m8.418s
2^18,0m16.010s
2^19,0m31.880s
2^20,1m5.965s
