Backend Circuit Size,`nargo compile` Time (s)
2^2,0m0.170s
2^3,0m0.151s
2^4,0m0.145s
2^5,0m0.144s
2^6,0m0.146s
2^7,0m0.148s
2^8,0m0.156s
2^9,0m0.160s
2^10,0m0.156s
2^11,0m0.159s
2^12,0m0.175s
2^13,0m0.212s
2^14,0m0.272s
2^15,0m0.428s
2^16,0m0.709s
2^17,0m1.268s
2^18,0m2.612s
2^19,0m5.238s
2^20,0m10.468s
2^21,0m20.230s
2^22,0m42.490s
2^23,1m21.991s
2^24,2m46.043s
