Backend Circuit Size,`backend_binary prove` Time (s)
2^2,0m0.143s
2^3,0m0.143s
2^4,0m0.145s
2^5,0m0.147s
2^6,0m0.148s
2^7,0m0.154s
2^8,0m0.160s
2^9,0m0.166s
2^10,0m0.179s
2^11,0m0.205s
2^12,0m0.248s
2^13,0m0.364s
2^14,0m0.541s
2^15,0m0.812s
2^16,0m1.444s
2^17,0m2.690s
2^18,0m5.114s
2^19,0m10.080s
2^20,0m19.853s
2^21,5m2.956s
2^22,11m11.056s
