Primitive,`nargo compile` Time (s)
keccak256_32B,0m0.160s
keccak256_32B_100_times,0m0.791s
keccak256_532B,0m0.252s
keccak256_532B_10_times,0m0.955s
ecdsa_secp256k1,0m0.162s
compute_merkle_root_depth_4,0m0.154s
compute_merkle_root_depth_32,0m0.159s
