Backend Circuit Size,`nargo execute` Time (s)
2^2,0m0.308s
2^3,0m0.272s
2^4,0m0.279s
2^5,0m0.277s
2^6,0m0.276s
2^7,0m0.289s
2^8,0m0.286s
2^9,0m0.291s
2^10,0m0.290s
2^11,0m0.294s
2^12,0m0.309s
2^13,0m0.350s
2^14,0m0.426s
2^15,0m0.564s
2^16,0m0.869s
2^17,0m1.511s
2^18,0m2.691s
2^19,0m5.087s
2^20,0m10.288s
