Backend Circuit Size (2^n),`nargo prove` Time (s)
2^2,0m0.462s
2^3,0m0.484s
2^4,0m0.512s
2^5,0m0.549s
2^6,0m0.512s
2^7,0m0.508s
2^8,0m0.534s
2^9,0m0.544s
2^10,0m0.614s
2^11,0m0.705s
2^12,0m0.915s
