Backend Circuit Size,`nargo execute` Time (s)
2^2,0m0.405s
2^3,0m0.392s
2^4,0m0.381s
2^5,0m0.381s
2^6,0m0.379s
2^7,0m0.381s
2^8,0m0.379s
2^9,0m0.403s
2^10,0m0.386s
2^11,0m0.408s
2^12,0m0.427s
2^13,0m0.476s
2^14,0m0.596s
2^15,0m0.790s
2^16,0m1.219s
2^17,0m2.054s
2^18,0m3.745s
2^19,0m7.219s
2^20,0m14.188s
2^21,0m28.024s
2^22,0m56.556s
2^23,1m27.200s
2^24,4m5.025s
