Backend Circuit Size,`nargo compile` Time (s)
2^2,0m0.304s
2^3,0m0.247s
2^4,0m0.249s
2^5,0m0.247s
2^6,0m0.247s
2^7,0m0.247s
2^8,0m0.257s
2^9,0m0.248s
2^10,0m0.253s
2^11,0m0.262s
2^12,0m0.282s
2^13,0m0.318s
2^14,0m0.375s
2^15,0m0.669s
2^16,0m1.440s
2^17,0m2.122s
2^18,0m5.286s
2^19,0m11.040s
2^20,0m22.016s
2^21,0m58.163s
2^22,1m41.171s
2^23,2m40.113s
