Backend Circuit Size,`nargo execute` Time (s)
2^2,0m0.349s
2^3,0m0.301s
2^4,0m0.304s
2^5,0m0.305s
2^6,0m0.300s
2^7,0m0.312s
2^8,0m0.302s
2^9,0m0.310s
2^10,0m0.314s
2^11,0m0.319s
2^12,0m0.339s
2^13,0m0.381s
2^14,0m0.450s
2^15,0m0.599s
2^16,0m0.890s
2^17,0m1.505s
2^18,0m2.714s
2^19,0m5.245s
2^20,0m10.361s
2^21,0m20.552s
2^22,0m39.889s
2^23,1m21.593s
