Primitive,`nargo execute` Time (s)
keccak256,0m0.334s
keccak256_100_times,0m0.313s
ecdsa_secp256k1,0m0.311s
compute_merkle_root_depth_4,0m0.311s
compute_merkle_root_depth_32,0m0.324s
verify_proof,0m0.313s
storage_proof_depth_8,0m0.845s
rsa,1m13.328s
