Backend Circuit Size,`nargo prove` Time (s)
2^2,0m0.501s
2^3,0m0.481s
2^4,0m0.478s
2^5,0m0.494s
2^6,0m0.504s
2^7,0m0.520s
2^8,0m0.526s
2^9,0m0.550s
2^10,0m0.590s
2^11,0m0.660s
2^12,0m0.801s
2^13,0m1.074s
2^14,0m1.562s
2^15,0m2.496s
2^16,0m4.496s
2^17,0m8.533s
2^18,0m16.337s
2^19,0m32.414s
2^20,1m5.016s
2^21,2m21.177s
