Backend Circuit Size,`backend_binary prove` Time (s)
2^2,0m0.048s
2^3,0m0.027s
2^4,0m0.030s
2^5,0m0.039s
2^6,0m0.047s
2^7,0m0.050s
2^8,0m0.056s
2^9,0m0.068s
2^10,0m0.093s
2^11,0m0.128s
2^12,0m0.213s
2^13,0m0.358s
2^14,0m0.610s
2^15,0m1.062s
2^16,0m2.007s
2^17,0m3.895s
2^18,0m7.603s
2^19,0m15.143s
2^20,0m30.965s
2^21,1m5.772s
