Backend Circuit Size,`nargo prove` Time (s)
2^2,0m0.537s
2^3,0m0.651s
2^4,0m0.643s
2^5,0m0.641s
2^6,0m0.612s
2^7,0m0.631s
2^8,0m0.631s
2^9,0m0.707s
2^10,0m0.925s
