Primitive,`nargo execute` Time (s)
keccak256_32B,0m0.277s
keccak256_32B_100_times,0m0.289s
keccak256_535B,0m0.282s
keccak256_535B_10_times,0m0.347s
ecdsa_secp256k1,0m0.277s
compute_merkle_root_depth_4,0m0.292s
compute_merkle_root_depth_32,0m0.303s
verify_proof,0m0.291s
storage_proof_depth_8,0m1.490s
