Primitive,`nargo prove` Time (s)
keccak256_32B,0m1.638s
keccak256_32B_100_times,0m36.746s
keccak256_535B,0m2.647s
keccak256_535B_10_times,0m17.378s
ecdsa_secp256k1,0m1.624s
compute_merkle_root_depth_4,0m1.070s
compute_merkle_root_depth_32,0m1.080s
verify_proof,0m5.338s
storage_proof_depth_8,0m34.964s
